เดือน,เงินฝากเข้า,เงินถอนออก,เงินกู้เบิกจ่ายใหม่,เงินกู้รับชำระคืน,เงินสดคงเหลือต้นเดือน
2024-01,69073896.17,34390081.74,26110246.27,27508896.64,85000000.0
2024-02,44250276.35,39578973.6,31482074.22,26440144.19,121082464.8
2024-03,41840273.0,34839576.37,25944197.7,30408775.96,120711837.52
2024-04,38707314.38,54530950.7,38721399.35,30951753.85,132177112.41
2024-05,40603342.05,39606701.26,31333597.02,26171892.57,108583830.59
2024-06,45905948.17,40691035.18,27457847.47,27706294.96,104418766.93
2024-07,47490851.04,38081410.81,25463911.43,27319783.5,109882127.41
2024-08,46805548.69,40417427.19,31864232.35,33414424.7,121147439.71
2024-09,44334923.13,43592272.44,28274713.83,31930847.23,129085753.56
2024-10,47184417.14,41001390.62,32714408.21,32353762.45,133484537.65
2024-11,46341507.63,36621161.23,27257206.25,34259375.35,139306918.41
2024-12,65614862.85,38343178.64,26275207.2,34327360.56,156029433.91
2025-01,73993298.05,39634760.73,28847005.57,29357323.83,191353271.48
2025-02,43165937.57,44541423.71,31524490.02,33398789.02,226222127.06
2025-03,42533520.08,43079638.21,27287077.75,31343967.29,226720939.92
2025-04,50262075.8,63869637.02,40353861.41,34511065.8,230231711.33
2025-05,49188431.92,43946968.86,28193508.17,28264636.81,210781354.5
2025-06,44575685.78,39930783.38,28180625.99,37452778.55,216093946.2
2025-07,50038928.77,40543439.5,32470698.75,32199241.32,230011001.16
2025-08,50667170.53,41983623.32,28991842.65,30879687.39,239235033.0
2025-09,47617351.41,40540456.57,32155785.0,37610054.67,249806424.95
2025-10,46340489.74,40386059.33,36233909.7,33876539.46,262337589.46
2025-11,43654039.42,39119751.6,27984231.65,40547183.31,265934649.63
2025-12,80940872.1,42570777.12,27691674.05,37866676.44,283031889.11
